column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
arOVInee,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-
total,total,-,-,-,-,-,-,-
al,revenue,68.0,61.6,28.6,-,-,-,-
al,expenditure,52.9,39.2,208,-,-,-,-
;pital,construction,38,19,03,-,-,-,-
ming,and,rural,water,conservation,3.5,15,09,-
"ience,","education,","culture,",and,health,care,15.4,83,6.0
her,30.1,278,13.5,-,-,-,-,-
al,investment,in,fixed,assets,2743,-,-,-
;pital,construction,749,-,-,-,-,-,-
3y,state-owned,units,64.3,-,-,-,-,-
estate,development,33.1,-,-,-,-,-,-
3y,state-owned,units,172,-,-,-,-,-
1ral,collective,48.2,-,-,-,-,-,-
3y,state-owned,units,0.0,-,-,-,-,-
769.8,-,-,-,-,-,-,-,-
vincial,GDP,-,-,-,-,-,-,-
